symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
PUNDIXUSDT,0.01000000,1.815,0.54863922,0.55000000,0.56100000,51.20000000,0.56000000,1031.40000000,0.56100000,664.30000000,0.55100000,0.57900000,0.52200000,8349982.60000000,4581127.91370000,1676939613029,1677026013029,12305773,12326163,20391
TLMUSDT,0.00193000,7.789,0.02665509,0.02479000,0.02671000,1863.00000000,0.02671000,4063.00000000,0.02673000,3742.00000000,0.02478000,0.02952000,0.02411000,636724578.00000000,16971953.13703000,1676939613202,1677026013202,72942912,73038777,95866
1INCHUPUSDT,0.00000000,0.000,0.00000000,0.06570300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820541989,1670906941989,-1,-1,0
1INCHDOWNUSDT,0.00000000,0.000,0.00000000,0.00614800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670821569315,1670907969315,-1,-1,0
BTGUSDT,0.00000000,0.000,0.00000000,17.65000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670822023474,1670908423474,-1,-1,0
MIRUSDT,-0.00593000,-4.017,0.17772133,0.14798000,0.14168000,351.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14761000,0.21889000,0.14116000,135745732.00000000,24124911.71653100,1672023646667,1672110046667,19189961,19349189,159229
BARUSDT,-0.46000000,-9.787,4.43144037,4.70000000,4.24000000,3.06000000,4.23000000,3358.22000000,4.24000000,5470.74000000,4.70000000,4.81000000,4.15000000,1074865.91000000,4763204.18940000,1676939616045,1677026016045,9216027,9241225,25199
FORTHUSDT,-0.10000000,-2.092,4.91259293,4.77000000,4.68000000,73.09000000,4.67000000,234.95000000,4.68000000,200.58000000,4.78000000,5.39000000,4.47000000,800679.33000000,3933411.61480000,1676939609527,1677026009527,13371046,13395999,24954
BAKEUSDT,0.00240000,0.912,0.26628714,0.26300000,0.26550000,6484.20000000,0.26520000,617.30000000,0.26530000,547.60000000,0.26310000,0.27660000,0.25440000,26755588.70000000,7124669.10420000,1676939616604,1677026016604,47479824,47534863,55040
BURGERUSDT,-0.01380000,-1.655,0.81899868,0.83400000,0.82020000,307.70000000,0.81960000,14.90000000,0.82020000,2599.70000000,0.83400000,0.86020000,0.79280000,6780559.60000000,5553269.38067000,1676939616942,1677026016942,23154391,23180532,26142
